ad_id,time,total_persons,person id,counted,age,gender
street.mp4,1/20/2025 18:06,2,8,TRUE,30,Man
street.mp4,1/20/2025 18:06,2,9,TRUE,54,Woman
ad1.mp4,1/20/2025 18:09,2,8,TRUE,28,Man
ad1.mp4,1/20/2025 18:09,2,2,TRUE,30,Man
ad1.mp4,1/20/2025 18:09,2,10,TRUE,29,Man
street.mp4,1/20/2025 18:09,1,10,TRUE,40,Woman
ad1.mp4,1/20/2025 18:12,1,10,TRUE,36,Man
ad1.mp4,1/20/2025 18:12,1,3,TRUE,30,Man
street.mp4,1/20/2025 18:13,1,10,TRUE,32,Man
ad1.mp4,1/20/2025 18:15,2,10,TRUE,37,Man
ad1.mp4,1/20/2025 18:15,2,5,TRUE,30,Man
ad1.mp4,1/20/2025 18:15,2,12,TRUE,31,Man
street.mp4,1/20/2025 18:16,1,12,TRUE,32,Man
ad1.mp4,1/20/2025 18:18,1,12,TRUE,30,Man
street.mp4,1/20/2025 18:19,1,12,TRUE,32,Man
ad1.mp4,1/20/2025 18:21,1,12,TRUE,32,Man
street.mp4,1/20/2025 18:23,1,12,TRUE,32,Man
ad1.mp4,1/20/2025 18:25,1,12,TRUE,29,Man
street.mp4,1/20/2025 18:26,1,12,TRUE,31,Man
ad1.mp4,1/20/2025 18:28,1,12,TRUE,33,Man
street.mp4,1/20/2025 18:29,1,12,TRUE,28,Man
ad1.mp4,1/20/2025 18:31,2,13,TRUE,34,Man
ad1.mp4,1/20/2025 18:31,2,15,TRUE,39,Woman
ad1.mp4,1/20/2025 18:38,1,15,TRUE,32,Man
street.mp4,1/20/2025 18:39,1,15,TRUE,33,Man
ad1.mp4,1/20/2025 18:41,1,16,TRUE,31,Man
street.mp4,1/20/2025 18:42,1,16,TRUE,27,Man
ad1.mp4,1/20/2025 18:44,2,16,TRUE,31,Man
ad1.mp4,1/20/2025 18:44,2,17,TRUE,38,Woman
street.mp4,1/20/2025 18:45,1,18,TRUE,32,Man
ad1.mp4,1/20/2025 18:48,2,18,TRUE,27,Man
ad1.mp4,1/20/2025 18:48,2,19,TRUE,33,Man
street.mp4,1/20/2025 18:49,1,19,TRUE,33,Man
ad1.mp4,1/20/2025 18:51,3,19,TRUE,31,Man
ad1.mp4,1/20/2025 18:51,3,20,TRUE,28,Man
ad1.mp4,1/20/2025 18:51,3,21,TRUE,20,Woman
street.mp4,1/20/2025 18:52,1,22,TRUE,29,Woman
ad1.mp4,1/20/2025 18:54,1,22,TRUE,36,Woman
ad1.mp4,1/20/2025 19:14,1,23,TRUE,29,Man
street.mp4,1/20/2025 19:15,1,23,TRUE,27,Man
ad1.mp4,1/20/2025 19:17,1,23,TRUE,32,Man
